miR_ID,mRNA_ID
hsa-miR-562,NM_000245
hsa-miR-1,NM_000245
hsa-miR-34a-5p,NM_000245
hsa-miR-449b-5p,NM_000245
hsa-miR-449a,NM_000245
hsa-miR-199a-3p,NM_000245
hsa-miR-23b-3p,NM_000245
hsa-miR-31-5p,NM_000245
hsa-miR-34b-3p,NM_000245
hsa-miR-206,NM_000245
hsa-miR-133b,NM_000245
hsa-miR-181d-5p,NM_002412
hsa-miR-451a,NM_002415
hsa-miR-31-5p,NM_000249
hsa-miR-155-5p,NM_000249
hsa-miR-181b-5p,NM_002446
hsa-miR-155-5p,NM_002446
hsa-miR-199a-5p,NM_002419
hsa-miR-499a-5p,NM_001170931
hsa-miR-135a-5p,NM_000901
hsa-miR-124-3p,NM_000901
hsa-miR-145-5p,NM_001145938
hsa-miR-222-3p,NM_001145938
hsa-miR-451a,NM_001127891
hsa-miR-338-3p,NM_001127891
hsa-miR-29b-3p,NM_001127891
hsa-miR-17-5p,NM_001127891
hsa-miR-126-3p,NM_002423
hsa-miR-126-5p,NM_002423
hsa-miR-338-3p,NM_004994
hsa-miR-451a,NM_004994
hsa-miR-125a-5p,NM_005940
hsa-miR-145-5p,NM_002426
hsa-miR-27b-3p,NM_002427
hsa-miR-125b-5p,NM_002427
hsa-miR-143-3p,NM_002427
hsa-miR-100-5p,NM_002427
hsa-miR-9-5p,NM_002427
hsa-miR-145-5p,NM_004995
hsa-miR-29b-3p,NM_002428
hsa-miR-29c-3p,NM_002428
hsa-miR-210-3p,NM_020310
hsa-let-7d-5p,NM_005373
hsa-miR-151a-5p,NM_005373
hsa-let-7a-5p,NM_005373
hsa-let-7c-5p,NM_005373
hsa-miR-98-5p,NM_005373
hsa-miR-708-3p,NM_005373
hsa-let-7e-5p,NM_005373
hsa-let-7f-5p,NM_005373
hsa-miR-28-5p,NM_005373
hsa-miR-373-3p,NM_005590
hsa-miR-210-3p,NM_005590
hsa-miR-21-5p,NM_000251
hsa-miR-155-5p,NM_000251
hsa-miR-326,NM_002439
hsa-miR-133a-3p,NM_002444
hsa-miR-200c-3p,NM_002444
hsa-miR-21-5p,NM_002451
hsa-miR-16-5p,NM_001130172
hsa-miR-150-5p,NM_001130172
hsa-miR-424-5p,NM_001130172
hsa-miR-15a-5p,NM_001130172
hsa-miR-34a-5p,NM_001130172
hsa-miR-107,NM_001130172
hsa-miR-155-5p,NM_001130172
hsa-miR-155-5p,NM_001080416
hsa-miR-221-3p,NM_001080416
hsa-miR-149-3p,NM_001278610
hsa-miR-26a-5p,NM_002467
hsa-let-7c-5p,NM_002467
hsa-miR-135a-5p,NM_002467
hsa-miR-145-5p,NM_002467
hsa-miR-34c-5p,NM_002467
hsa-miR-17-5p,NM_002467
hsa-let-7a-5p,NM_002467
hsa-miR-335-5p,NM_002467
hsa-let-7g-5p,NM_002467
hsa-miR-451a,NM_002467
hsa-miR-34a-5p,NM_002467
hsa-miR-98-5p,NM_002467
hsa-miR-378a-3p,NM_002467
hsa-miR-20a-5p,NM_002467
hsa-miR-34b-3p,NM_002467
hsa-miR-429,NM_002467
hsa-miR-34b-5p,NM_002467
hsa-miR-449c-5p,NM_002467
hsa-miR-24-3p,NM_002467
hsa-miR-29b-3p,NM_005378
hsa-miR-19a-3p,NM_005378
hsa-let-7e-5p,NM_005378
hsa-miR-101-3p,NM_005378
hsa-miR-34b-3p,NM_005378
hsa-miR-29c-3p,NM_005378
hsa-miR-34a-5p,NM_005378
hsa-miR-29a-3p,NM_005378
hsa-miR-19b-3p,NM_005378
hsa-miR-34c-5p,NM_005378
hsa-miR-202-3p,NM_005378
hsa-miR-155-5p,NM_001172566
hsa-miR-203a,NM_001172566
hsa-miR-23a-3p,NM_005963
hsa-miR-23a-3p,NM_001100112
hsa-miR-23a-3p,NM_017533
hsa-miR-155-5p,NM_015194
hsa-miR-145-5p,NM_000259
hsa-miR-143-3p,NM_004999
hsa-miR-145-5p,NM_004999
hsa-miR-155-5p,NM_012334
hsa-miR-27a-3p,NM_004535
hsa-miR-221-3p,NM_004536
hsa-miR-155-5p,NM_004539
hsa-miR-145-5p,NM_002489
hsa-miR-30a-5p,NM_002500
hsa-miR-107,NM_001134673
hsa-miR-223-3p,NM_001134673
hsa-miR-424-5p,NM_001134673
hsa-miR-153-3p,NM_001145412
hsa-miR-27a-3p,NM_001145412
hsa-miR-142-5p,NM_001145412
hsa-miR-144-3p,NM_001145412
hsa-miR-146b-5p,NM_001165412
hsa-miR-9-5p,NM_001165412
hsa-miR-146a-5p,NM_001165412
hsa-miR-30e-3p,NM_020529
hsa-miR-485-3p,NM_006166
hsa-miR-33a-5p,NM_001142587
hsa-miR-29b-3p,NM_002508
hsa-miR-23b-3p,NM_017617
hsa-miR-10b-5p,NM_017617
hsa-miR-449a,NM_017617
hsa-miR-326,NM_017617
hsa-miR-34c-5p,NM_017617
hsa-miR-129-5p,NM_017617
hsa-miR-34b-3p,NM_017617
hsa-miR-24-3p,NM_017617
hsa-miR-30a-5p,NM_017617
hsa-miR-144-3p,NM_017617
hsa-miR-181a-5p,NM_017617
hsa-miR-34a-5p,NM_017617
hsa-miR-27b-3p,NM_017617
hsa-miR-1,NM_000435
hsa-miR-150-5p,NM_000435
hsa-miR-206,NM_000435
hsa-miR-181c-5p,NM_004557
hsa-miR-34c-5p,NM_004557
hsa-miR-133a-3p,NM_000270
hsa-miR-1,NM_000270
hsa-miR-17-5p,NM_002519
hsa-miR-33a-5p,NM_000271
hsa-miR-320a,NM_000906
hsa-miR-210-3p,NM_002522
hsa-miR-200c-3p,NM_001102654
hsa-miR-155-5p,NM_001172632
hsa-miR-122-5p,NM_000917
hsa-miR-210-3p,NM_000918
hsa-miR-146a-5p,NM_006191
hsa-miR-224-5p,NM_002567
hsa-miR-377-3p,NM_001128620
hsa-miR-7-5p,NM_001128620
hsa-miR-155-5p,NM_002577
hsa-miR-10b-5p,NM_000280
hsa-miR-21-5p,NM_006196
hsa-miR-155-5p,NM_020403
hsa-miR-24-3p,NM_002592
hsa-miR-140-5p,NM_006206
hsa-miR-34a-5p,NM_006206
hsa-miR-520e,NM_001242339
hsa-miR-520b,NM_001242339
hsa-miR-520a-3p,NM_001242339
hsa-miR-182-5p,NM_005022
hsa-miR-451a,NM_000927
hsa-miR-21-5p,NM_002639
hsa-miR-148b-3p,NM_006218
hsa-miR-1,NM_001243186
hsa-miR-192-5p,NM_001243186
hsa-miR-16-5p,NM_001243186
hsa-miR-210-3p,NM_001243186
hsa-miR-33a-5p,NM_001243186
hsa-miR-30a-5p,NM_005026
hsa-miR-29a-3p,NM_001242466
hsa-miR-376a-3p,NM_001242466
hsa-miR-133b,NM_005029
hsa-miR-106b-5p,NM_000297
hsa-miR-17-5p,NM_000297
hsa-miR-326,NM_001206796
hsa-miR-424-5p,NM_001114634
hsa-miR-375,NM_001114634
hsa-miR-26a-5p,NM_001114634
hsa-miR-144-3p,NM_001114634
hsa-miR-107,NM_001114634
hsa-miR-181a-5p,NM_001114634
hsa-miR-181b-5p,NM_001114634
hsa-miR-193b-3p,NM_001145031
hsa-miR-23b-3p,NM_001145031
hsa-miR-100-5p,NM_005030
hsa-miR-155-5p,NM_001145319
hsa-miR-214-3p,NM_001130082
hsa-miR-200c-3p,NM_021127
hsa-miR-145-5p,NM_001018111
hsa-miR-488-3p,NM_000939
hsa-miR-616-3p,NM_000446
hsa-miR-211-5p,NM_005604
hsa-miR-214-3p,NM_004575
hsa-miR-23a-3p,NM_004575
hsa-miR-20b-5p,NM_005037
hsa-miR-27b-3p,NM_005037
hsa-miR-130b-3p,NM_005037
hsa-miR-130a-3p,NM_005037
hsa-miR-205-5p,NM_004774
hsa-miR-31-5p,NM_001177591
hsa-miR-222-3p,NM_001177591
hsa-miR-1,NM_001199756
hsa-miR-145-5p,NM_000944
hsa-miR-122-5p,NM_006253
hsa-miR-155-5p,NM_006823
hsa-miR-1,NM_005400
hsa-miR-31-5p,NM_005400
hsa-miR-155-5p,NM_006256
hsa-miR-101-5p,NM_001081640
hsa-miR-143-3p,NM_002749
hsa-miR-214-3p,NM_001278548
hsa-miR-497-5p,NM_002755
hsa-miR-34a-5p,NM_002755
hsa-miR-424-5p,NM_002755
hsa-miR-23b-5p,NM_001195226
hsa-miR-181a-5p,NM_001270616
hsa-miR-376a-5p,NM_001204402
hsa-miR-128-3p,NM_005045
hsa-miR-138-5p,NM_005045
hsa-let-7f-5p,NM_001077500
hsa-miR-224-5p,NM_001077500
hsa-miR-19a-3p,NM_001042465
hsa-miR-214-3p,NM_170750
hsa-miR-23b-3p,NM_000314
hsa-miR-141-3p,NM_000314
hsa-miR-26a-5p,NM_000314
hsa-miR-93-5p,NM_000314
hsa-miR-222-3p,NM_000314
hsa-miR-519c-3p,NM_000314
hsa-miR-21-5p,NM_000314
hsa-miR-494-3p,NM_000314
hsa-miR-106b-5p,NM_000314
hsa-miR-23a-3p,NM_000314
hsa-miR-29b-3p,NM_000314
hsa-miR-19b-3p,NM_000314
hsa-miR-519a-3p,NM_000314
hsa-miR-20a-5p,NM_000314
hsa-miR-519d-3p,NM_000314
hsa-miR-217,NM_000314
hsa-miR-221-3p,NM_000314
hsa-miR-216a-5p,NM_000314
hsa-miR-144-3p,NM_000314
hsa-miR-19a-3p,NM_000314
hsa-miR-107,NM_000314
hsa-miR-17-5p,NM_000314
hsa-miR-103a-3p,NM_000314
hsa-miR-214-3p,NM_000314
hsa-miR-29a-3p,NM_000314
hsa-miR-18a-5p,NM_000314
hsa-miR-16-5p,NM_000963
hsa-miR-26b-5p,NM_000963
hsa-miR-101-3p,NM_000963
hsa-miR-137,NM_000963
hsa-miR-193a-3p,NM_001199649
hsa-miR-7-5p,NM_001199649
hsa-miR-138-5p,NM_001199649
hsa-miR-1,NM_001099285
hsa-miR-22-3p,NM_002824
hsa-miR-210-3p,NM_001278618
hsa-miR-122-5p,NM_001278618
hsa-miR-362-3p,NM_001278618
hsa-miR-24-3p,NM_002833
hsa-miR-194-5p,NM_001131008
hsa-miR-200b-3p,NM_001131008
hsa-miR-200c-3p,NM_006264
hsa-miR-194-5p,NM_006264
hsa-miR-429,NM_001040712
hsa-miR-200a-3p,NM_001040712
hsa-miR-200c-3p,NM_001040712
hsa-miR-200b-3p,NM_001040712
hsa-miR-141-3p,NM_001040712
hsa-miR-24-3p,NM_002840
hsa-miR-133b,NM_001135648
hsa-miR-335-5p,NM_002847
hsa-miR-21-5p,NM_002852
hsa-miR-106b-5p,NM_005859
hsa-miR-20a-5p,NM_005859
hsa-miR-93-5p,NM_005859
hsa-miR-16-5p,NM_005859
hsa-miR-15b-5p,NM_005859
hsa-miR-15a-5p,NM_005859
hsa-miR-137,NM_001080855
hsa-miR-373-3p,NM_001244713
hsa-miR-7-5p,NM_002880
hsa-miR-125b-5p,NM_002880
hsa-miR-181a-5p,NM_005402
hsa-miR-29a-3p,NM_006325
hsa-miR-182-5p,NM_000966
hsa-miR-31-5p,NM_002890
hsa-miR-335-5p,NM_002890
hsa-miR-132-3p,NM_002890
hsa-miR-335-5p,NM_000321
hsa-miR-106b-5p,NM_000321
hsa-miR-17-5p,NM_000321
hsa-miR-675-5p,NM_000321
hsa-miR-106a-5p,NM_000321
hsa-miR-20a-5p,NM_000321
hsa-miR-192-5p,NM_000321
hsa-miR-26a-5p,NM_000321
hsa-miR-132-3p,NM_000321
hsa-miR-212-3p,NM_000321
hsa-miR-17-5p,NM_005611
hsa-miR-20a-5p,NM_005611
hsa-miR-106b-5p,NM_005611
hsa-miR-124-3p,NM_001145138
hsa-miR-9-5p,NM_001193508
hsa-miR-21-5p,NM_001193508
hsa-miR-22-3p,NM_002923
hsa-miR-155-5p,NM_005614
hsa-miR-203a,NM_001040876
hsa-miR-217,NM_001145845
hsa-miR-584-5p,NM_005406
hsa-miR-1280,NM_005406
hsa-miR-146a-5p,NM_005406
hsa-miR-148b-3p,NM_005406
hsa-miR-30b-3p,NM_001001523
hsa-miR-125b-5p,NM_001006665
hsa-miR-21-5p,NM_001011
hsa-miR-145-5p,NM_001015055
hsa-miR-196a-5p,NM_002965
hsa-miR-29a-3p,NM_006272
hsa-miR-29b-3p,NM_006272
hsa-miR-191-5p,NM_001131010
hsa-miR-448,NM_001131010
hsa-miR-19a-3p,NM_001017369
hsa-miR-19b-3p,NM_000332
hsa-miR-19a-3p,NM_000332
hsa-miR-101-3p,NM_000332
hsa-miR-130a-3p,NM_000332
hsa-miR-17-5p,NM_002981
hsa-miR-124-3p,NM_002982
hsa-miR-195-5p,NM_002984
hsa-miR-21-5p,NM_001130046
hsa-miR-34a-5p,NM_002990
hsa-miR-10b-5p,NM_001006946
hsa-miR-155-5p,NM_001007067
hsa-miR-199b-5p,NM_001122821
hsa-miR-141-3p,NM_005066
hsa-miR-29b-3p,NM_005066
hsa-miR-218-5p,NM_003013
hsa-miR-29a-3p,NM_003013
hsa-miR-10b-5p,NM_001243879
hsa-miR-10a-5p,NM_001243879
hsa-miR-330-3p,NM_003026
hsa-miR-429,NM_001130040
hsa-miR-200b-3p,NM_001130040
hsa-miR-200a-3p,NM_001130040
hsa-miR-141-3p,NM_001130040
hsa-miR-200c-3p,NM_001130040
hsa-miR-424-5p,NM_001006610
hsa-miR-185-5p,NM_005982
hsa-miR-155-5p,NM_003036
hsa-miR-195-5p,NM_006931
hsa-miR-223-3p,NM_001042
hsa-miR-122-5p,NM_003045
hsa-miR-92b-3p,NM_005073
hsa-miR-376a-3p,NM_001166496
hsa-miR-124-3p,NM_001166496
hsa-miR-376a-5p,NM_001166496
hsa-miR-146a-5p,NM_003064
hsa-miR-1,NM_003068
hsa-miR-203a,NM_003068
hsa-miR-124-3p,NM_003068
hsa-miR-138-5p,NM_003068
hsa-miR-630,NM_003068
hsa-miR-204-5p,NM_003068
hsa-miR-182-5p,NM_003068
hsa-miR-545-3p,NM_003068
hsa-miR-21-5p,NM_001128844
hsa-miR-155-5p,NM_001128844
hsa-miR-192-5p,NM_001007468
hsa-miR-326,NM_005631
hsa-miR-324-5p,NM_005631
hsa-miR-125b-5p,NM_005631
hsa-miR-338-3p,NM_005631
hsa-miR-204-5p,NM_005985
hsa-miR-153-3p,NM_005985
hsa-miR-153-3p,NM_000345
hsa-miR-7-5p,NM_000345
hsa-miR-133b,NM_003088
hsa-miR-143-3p,NM_003088
hsa-miR-133a-3p,NM_003088
hsa-miR-145-5p,NM_003088
hsa-miR-377-3p,NM_000454
hsa-miR-21-5p,NM_003102
hsa-miR-126-3p,NM_003106
hsa-miR-429,NM_003106
hsa-miR-128-3p,NM_003106
hsa-miR-140-5p,NM_003106
hsa-miR-34b-3p,NM_003106
hsa-miR-34c-5p,NM_003106
hsa-miR-145-5p,NM_003106
hsa-miR-34a-5p,NM_003106
hsa-miR-522-3p,NM_003106
hsa-miR-129-5p,NM_003107
hsa-miR-129-2-3p,NM_003107
hsa-miR-138-5p,NM_003107
hsa-miR-204-5p,NM_003107
hsa-miR-335-5p,NM_003107
hsa-miR-191-5p,NM_003107
hsa-miR-21-5p,NM_001261414
hsa-miR-194-5p,NM_001261414
hsa-miR-1,NM_000346
hsa-miR-101-3p,NM_000346
hsa-miR-27a-3p,NM_001251825
hsa-miR-29b-3p,NM_001251825
hsa-miR-133a-3p,NM_001251825
hsa-miR-335-5p,NM_001251825
hsa-miR-22-3p,NM_001251825
hsa-miR-149-5p,NM_001251825
hsa-miR-21-5p,NM_001251825
hsa-miR-1,NM_001251825
hsa-miR-218-5p,NM_001251825
hsa-miR-223-3p,NM_001017371
hsa-miR-27a-3p,NM_001017371
hsa-miR-27a-3p,NM_003112
hsa-miR-29c-3p,NM_003118
hsa-miR-155-5p,NM_001080547
hsa-miR-424-5p,NM_001080547
hsa-miR-569,NM_001080547
hsa-miR-34a-5p,NM_001080547
hsa-miR-299-5p,NM_000582
hsa-miR-23b-3p,NM_005417
hsa-miR-33a-5p,NM_005417
hsa-miR-205-5p,NM_005417
hsa-miR-122-5p,NM_003131
hsa-miR-1,NM_003131
hsa-miR-27b-3p,NM_021978
hsa-miR-199a-5p,NM_005420
hsa-miR-141-3p,NM_001256312
hsa-miR-34a-5p,NM_001165903
hsa-miR-631,NM_001055
hsa-miR-34a-5p,NM_014232
hsa-miR-34a-5p,NM_001135805
hsa-miR-206,NM_003182
hsa-miR-130a-3p,NM_003182
hsa-miR-320a,NM_003182
hsa-miR-302a-3p,NM_003182
hsa-miR-122-5p,NM_003183
hsa-miR-145-5p,NM_003183
hsa-miR-491-5p,NM_006284
hsa-miR-10a-5p,NM_145332
hsa-miR-346,NM_000593
hsa-miR-155-5p,NM_004607
hsa-miR-10b-5p,NM_003222
hsa-miR-29c-3p,NM_003222
hsa-miR-302a-3p,NM_001145155
hsa-miR-141-3p,NM_001178138
hsa-miR-22-3p,NM_001128148
hsa-miR-320a,NM_001128148
hsa-miR-152-3p,NM_001099691
hsa-miR-633,NM_000660
hsa-miR-24-3p,NM_000660
hsa-miR-141-3p,NM_001135599
hsa-miR-302d-3p,NM_001172425
hsa-miR-302a-3p,NM_001172425
hsa-miR-9-5p,NM_000358
hsa-miR-21-5p,NM_000358
hsa-miR-204-5p,NM_001130916
hsa-miR-128-3p,NM_001130916
hsa-miR-140-5p,NM_001130916
hsa-let-7c-5p,NM_001130916
hsa-miR-92a-3p,NM_001024847
hsa-miR-302b-3p,NM_001024847
hsa-miR-204-5p,NM_001024847
hsa-miR-18a-5p,NM_001024847
hsa-miR-590-5p,NM_001024847
hsa-miR-21-5p,NM_001024847
hsa-miR-372-3p,NM_001024847
hsa-miR-19a-3p,NM_001024847
hsa-miR-20a-5p,NM_001024847
hsa-miR-17-5p,NM_001024847
hsa-miR-21-5p,NM_001278682
hsa-miR-30a-3p,NM_003246
hsa-miR-27a-3p,NM_000461
hsa-miR-204-5p,NM_000461
hsa-miR-21-5p,NM_003253
hsa-miR-31-5p,NM_003253
hsa-miR-519a-3p,NM_003254
hsa-miR-519d-3p,NM_003255
hsa-miR-519c-3p,NM_003255
hsa-miR-103a-3p,NM_000362
hsa-miR-222-3p,NM_000362
hsa-miR-221-3p,NM_000362
hsa-miR-181b-5p,NM_000362
hsa-miR-21-5p,NM_000362
hsa-miR-212-3p,NM_003257
hsa-miR-657,NM_005077
hsa-miR-19b-3p,NM_003264
hsa-miR-146a-5p,NM_003264
hsa-miR-19a-3p,NM_003264
hsa-miR-105-5p,NM_003264
hsa-miR-17-5p,NM_003272
hsa-miR-1,NM_021109
hsa-miR-203a,NM_000594
hsa-miR-125a-5p,NM_001270507
hsa-miR-125b-5p,NM_001270507
hsa-miR-21-5p,NM_001270507
hsa-miR-29a-3p,NM_001270507
hsa-miR-21-5p,NM_001031685
hsa-miR-223-3p,NM_003299
hsa-miR-146b-5p,NM_004620
hsa-miR-146a-5p,NM_004620
hsa-miR-20a-5p,NM_006292
hsa-miR-155-5p,NM_001205296
hsa-miR-376a-5p,NM_001166691
hsa-miR-376a-3p,NM_001166691
hsa-miR-30c-5p,NM_003345
hsa-miR-200c-3p,NM_003345
hsa-miR-188-5p,NM_003345
hsa-miR-30e-5p,NM_003345
hsa-miR-15a-5p,NM_003355
hsa-miR-34c-5p,NM_003362
hsa-miR-199a-5p,NM_003362
hsa-miR-16-5p,NM_003362
hsa-miR-155-5p,NM_006003
hsa-miR-362-3p,NM_003367
hsa-miR-10a-5p,NM_003367
hsa-miR-375,NM_001017415
hsa-miR-206,NM_007124
hsa-miR-130b-3p,NM_003369
hsa-miR-126-3p,NM_001078
hsa-miR-559,NM_003373
hsa-miR-661,NM_003373
hsa-miR-27b-3p,NM_000376
hsa-let-7a-5p,NM_000376
hsa-miR-125b-5p,NM_000376
hsa-miR-23b-3p,NM_000551
hsa-miR-183-5p,NM_001111077
hsa-miR-204-5p,NM_001111077
hsa-miR-17-3p,NM_003380
hsa-miR-124-3p,NM_003380
hsa-miR-9-5p,NM_003380
hsa-miR-138-5p,NM_003380
hsa-miR-30c-5p,NM_003380
hsa-miR-181b-5p,NM_003385
hsa-miR-106b-5p,NM_001143976
hsa-miR-424-5p,NM_001143976
hsa-miR-503-5p,NM_001143976
hsa-miR-195-5p,NM_001143976
hsa-miR-20a-5p,NM_001143976
hsa-miR-17-5p,NM_001143976
hsa-miR-155-5p,NM_001143976
hsa-miR-372-3p,NM_001143976
hsa-let-7e-5p,NM_005430
hsa-miR-122-5p,NM_005430
hsa-miR-34a-5p,NM_005430
hsa-miR-324-3p,NM_003396
hsa-miR-127-3p,NM_005080
hsa-miR-214-3p,NM_005080
hsa-miR-205-5p,NM_005433
hsa-miR-145-5p,NM_005433
hsa-miR-17-5p,NM_005433
hsa-miR-519a-3p,NM_005433
hsa-miR-31-5p,NM_003403
hsa-miR-34a-5p,NM_003403
hsa-miR-141-3p,NM_012479
hsa-miR-155-5p,NM_001135699
hsa-miR-193b-3p,NM_001135699
hsa-miR-375,NM_001135699
hsa-miR-34a-5p,NM_001079
hsa-miR-34c-5p,NM_001079
hsa-miR-34b-3p,NM_001079
hsa-miR-346,NM_003407
hsa-miR-155-5p,NM_003413
hsa-miR-203a,NM_021964
hsa-miR-20a-5p,NM_001193511
hsa-miR-17-5p,NM_001193511
hsa-miR-16-5p,NM_001010972
hsa-miR-21-5p,NM_006763
hsa-miR-29a-3p,NM_012293
hsa-miR-146a-5p,NM_001008540
hsa-miR-224-5p,NM_001008540
hsa-miR-150-5p,NM_001008540
hsa-miR-31-5p,NM_017412
hsa-miR-616-3p,NM_001271004
hsa-miR-141-3p,NM_007371
hsa-miR-34a-5p,NM_005438
hsa-miR-19a-3p,NM_003478
hsa-miR-192-5p,NM_003478
hsa-miR-19b-3p,NM_003478
hsa-miR-21-5p,NM_006305
hsa-miR-7-5p,NM_003486
hsa-miR-626,NM_003486
hsa-miR-126-3p,NM_003486
hsa-miR-17-5p,NM_001174087
hsa-miR-98-5p,NM_001174087
hsa-miR-33a-5p,NM_001174087
hsa-miR-21-5p,NM_001174087
hsa-miR-18a-5p,NM_001174087
hsa-miR-19b-3p,NM_001174087
hsa-miR-29b-3p,NM_001174087
hsa-miR-155-5p,NM_001008660
hsa-miR-34a-5p,NM_004655
hsa-miR-429,NM_004656
hsa-miR-200c-3p,NM_004656
hsa-miR-141-3p,NM_004656
hsa-miR-200b-3p,NM_004656
hsa-miR-200a-3p,NM_004656
hsa-miR-221-3p,NM_006768
hsa-miR-192-5p,NM_001134419
hsa-miR-106b-5p,NM_001278182
hsa-miR-204-5p,NM_003505
hsa-miR-145-5p,NM_003507
hsa-miR-375,NM_031866
hsa-miR-133a-3p,NM_001277223
hsa-miR-1,NM_001277223
hsa-miR-141-3p,NM_021969
hsa-miR-373-3p,NM_021111
hsa-miR-182-5p,NM_021111
hsa-miR-15a-5p,NM_021111
hsa-miR-21-5p,NM_021111
hsa-miR-15b-5p,NM_021111
hsa-miR-222-3p,NM_021111
hsa-miR-424-5p,NM_001198777
hsa-miR-429,NM_001177716
hsa-miR-141-3p,NM_001177716
hsa-miR-200b-3p,NM_001177716
hsa-miR-200a-3p,NM_001177716
hsa-miR-200c-3p,NM_001177716
hsa-miR-200c-3p,NM_001009183
hsa-miR-200a-3p,NM_001009183
hsa-miR-203a,NM_003620
hsa-miR-16-5p,NM_003620
hsa-miR-145-5p,NM_003620
hsa-miR-29a-3p,NM_003620
hsa-miR-145-5p,NM_001202502
hsa-miR-130a-3p,NM_003641
hsa-miR-19b-3p,NM_003643
hsa-miR-424-5p,NM_016166
hsa-miR-27b-3p,NM_003685
hsa-miR-18a-5p,NM_003701
hsa-miR-133b,NM_003718
hsa-miR-33a-5p,NM_003742
hsa-miR-31-5p,NM_001005743
hsa-miR-30b-5p,NM_003745
hsa-miR-155-5p,NM_003745
hsa-miR-122-5p,NM_003745
hsa-miR-19a-3p,NM_003745
hsa-miR-19b-3p,NM_003745
hsa-let-7i-5p,NM_003745
hsa-miR-145-5p,NM_003749
hsa-miR-33a-5p,NM_003749
hsa-miR-7-5p,NM_003749
hsa-miR-30a-5p,NM_003766
hsa-miR-212-3p,NM_003768
hsa-miR-124-3p,NM_003768
hsa-miR-34a-5p,NM_003768
hsa-miR-125b-5p,NM_012079
hsa-miR-101-3p,NM_152991
hsa-miR-138-5p,NM_152991
hsa-miR-146a-5p,NM_003824
hsa-miR-31-5p,NM_003851
hsa-miR-124-3p,NM_003870
hsa-miR-194-5p,NM_001270467
hsa-miR-449a,NM_003881
hsa-miR-92a-3p,NM_003884
hsa-miR-181b-5p,NM_003884
hsa-miR-93-5p,NM_003884
hsa-miR-181a-5p,NM_003884
hsa-miR-19a-3p,NM_003884
hsa-miR-19b-3p,NM_003884
hsa-miR-106b-5p,NM_003884
hsa-miR-25-3p,NM_003884
hsa-miR-32-5p,NM_003884
hsa-miR-148a-3p,NM_003889
hsa-let-7a-5p,NM_003889
hsa-miR-125b-5p,NM_003901
hsa-miR-133b,NM_003909
hsa-let-7b-5p,NM_001111045
hsa-miR-204-5p,NM_001272071
hsa-miR-21-5p,NM_001084
hsa-miR-155-5p,NM_003954
hsa-miR-203a,NM_003955
hsa-miR-30a-3p,NM_001076785
hsa-miR-122-5p,NM_005149
hsa-miR-296-5p,NM_004712
hsa-miR-34a-5p,NM_004739
hsa-miR-559,NM_004739
hsa-miR-661,NM_004739
hsa-miR-146a-5p,NM_004739
hsa-miR-192-5p,NM_004747
hsa-miR-205-5p,NM_001012631
hsa-miR-378a-3p,NM_005098
hsa-miR-376a-5p,NM_001190987
hsa-miR-376a-3p,NM_001190987
hsa-miR-203a,NM_004232
hsa-miR-130a-3p,NM_004235
hsa-miR-145-5p,NM_004235
hsa-miR-135b-5p,NM_004235
hsa-miR-107,NM_004235
hsa-miR-25-3p,NM_004235
hsa-miR-103a-3p,NM_004235
hsa-miR-128-3p,NM_004235
hsa-miR-10b-5p,NM_004235
hsa-miR-22-3p,NM_001006639
hsa-miR-106b-5p,NM_001006639
hsa-miR-221-3p,NM_001006639
hsa-miR-504-5p,NM_001006639
hsa-miR-222-3p,NM_001006639
hsa-miR-663a,NM_001006639
hsa-miR-519c-3p,NM_001257386
hsa-miR-520h,NM_001257386
hsa-miR-328-3p,NM_001257386
hsa-miR-214-3p,NM_206855
hsa-miR-1,NM_021973
hsa-miR-138-5p,NM_004850
hsa-miR-124-3p,NM_004850
hsa-miR-9-5p,NM_004852
hsa-miR-19a-3p,NM_004869
hsa-miR-141-3p,NM_001267843
hsa-miR-182-5p,NM_001267843
hsa-miR-122-5p,NM_001128930
hsa-miR-204-5p,NM_001011666
hsa-miR-211-5p,NM_001011666
hsa-miR-632,NM_004905
hsa-miR-16-5p,NM_001077261
hsa-miR-10a-5p,NM_001077261
hsa-miR-10b-5p,NM_001077261
hsa-miR-24-3p,NM_014631
hsa-miR-9-5p,NM_014011
hsa-miR-28-5p,NM_153029
hsa-miR-708-3p,NM_153029
hsa-miR-151a-5p,NM_153029
hsa-miR-145-5p,NM_001195555
hsa-miR-218-5p,NM_001242795
hsa-miR-155-5p,NM_014247
hsa-miR-204-5p,NM_014674
hsa-miR-21-5p,NM_014705
hsa-miR-129-2-3p,NM_001199022
hsa-miR-132-3p,NM_001142685
hsa-miR-29b-3p,NM_006037
hsa-miR-1,NM_006037
hsa-miR-30c-5p,NM_006037
hsa-miR-22-3p,NM_006037
hsa-miR-140-5p,NM_006037
hsa-miR-24-3p,NM_014730
hsa-miR-200c-3p,NM_170774
hsa-miR-429,NM_170774
hsa-miR-200b-3p,NM_170774
hsa-miR-200a-3p,NM_170774
hsa-miR-141-3p,NM_170774
hsa-miR-10b-5p,NM_001142864
hsa-miR-155-5p,NM_014765
hsa-miR-200a-3p,NM_012289
hsa-miR-133b,NM_001083617
hsa-miR-605-5p,NM_014822
hsa-miR-92a-3p,NM_014835
hsa-miR-135b-5p,NM_005461
