miR_ID,mRNA_ID
hsa-miR-31-5p,NM_000388
hsa-miR-135b-5p,NM_000388
hsa-miR-30b-5p,NM_001752
hsa-miR-199a-5p,NM_001172895
hsa-miR-103a-3p,NM_001172895
hsa-miR-199a-3p,NM_001206747
hsa-miR-130b-3p,NM_001031680
hsa-miR-301a-3p,NM_001031680
hsa-miR-130a-3p,NM_001031680
hsa-miR-125b-5p,NM_001755
hsa-miR-145-5p,NM_001755
hsa-miR-148b-3p,NM_176875
hsa-miR-148a-3p,NM_176875
hsa-let-7b-5p,NM_001237
hsa-miR-212-3p,NM_001237
hsa-miR-24-3p,NM_001237
hsa-miR-132-3p,NM_001237
hsa-miR-146a-5p,NM_001237
hsa-miR-132-3p,NM_031966
hsa-miR-212-3p,NM_031966
hsa-miR-302b-3p,NM_001759
hsa-miR-15a-5p,NM_001759
hsa-miR-302d-3p,NM_001759
hsa-miR-20a-5p,NM_001759
hsa-miR-17-5p,NM_001759
hsa-let-7a-5p,NM_001759
hsa-miR-182-5p,NM_001759
hsa-miR-26a-5p,NM_001759
hsa-miR-206,NM_001759
hsa-miR-106b-5p,NM_001759
hsa-let-7b-5p,NM_001759
hsa-miR-503-5p,NM_001761
hsa-miR-424-5p,NM_001761
hsa-miR-326,NM_001769
hsa-miR-9-5p,NM_001773
hsa-miR-125a-5p,NM_001773
hsa-miR-185-5p,NM_005505
hsa-miR-223-3p,NM_005505
hsa-miR-96-5p,NM_005505
hsa-miR-146a-5p,NM_000074
hsa-miR-155-5p,NM_001040059
hsa-miR-429,NM_001011553
hsa-miR-200b-3p,NM_001011553
hsa-miR-200a-3p,NM_001011553
hsa-miR-141-3p,NM_001011553
hsa-miR-200c-3p,NM_001011553
hsa-miR-30a-5p,NM_001011553
hsa-miR-26a-5p,NM_001254
hsa-miR-424-5p,NM_001789
hsa-miR-449b-5p,NM_001789
hsa-miR-503-5p,NM_001789
hsa-miR-449a,NM_001789
hsa-miR-34a-5p,NM_001789
hsa-miR-21-5p,NM_001789
hsa-miR-15a-5p,NM_001789
hsa-let-7b-5p,NM_001789
hsa-let-7b-5p,NM_004359
hsa-miR-9-5p,NM_004360
hsa-miR-138-5p,NM_004360
hsa-miR-25-3p,NM_004360
hsa-miR-145-5p,NM_001792
hsa-miR-194-5p,NM_001792
hsa-miR-30a-3p,NM_001145306
hsa-miR-203a,NM_001145306
hsa-miR-107,NM_001145306
hsa-miR-424-5p,NM_001145306
hsa-miR-16-5p,NM_001145306
hsa-miR-191-5p,NM_001145306
hsa-miR-26b-5p,NM_001145306
hsa-miR-137,NM_001145306
hsa-miR-449b-5p,NM_001145306
hsa-let-7b-5p,NM_001145306
hsa-miR-218-5p,NM_001145306
hsa-miR-29c-3p,NM_001145306
hsa-miR-185-5p,NM_001145306
hsa-miR-29b-3p,NM_001145306
hsa-miR-34b-5p,NM_001145306
hsa-miR-34a-5p,NM_001145306
hsa-miR-29a-3p,NM_001145306
hsa-miR-34b-3p,NM_001145306
hsa-miR-124-3p,NM_001145306
hsa-miR-26a-5p,NM_001145306
hsa-miR-195-5p,NM_001145306
hsa-miR-449a,NM_001145306
hsa-miR-26a-5p,NM_001260
hsa-miR-34a-5p,NM_078626
hsa-miR-146a-5p,NM_001130851
hsa-miR-181a-5p,NM_001265
hsa-miR-204-5p,NM_001265
hsa-miR-181b-5p,NM_001265
hsa-miR-181c-5p,NM_001265
hsa-miR-9-5p,NM_001265
hsa-miR-433-3p,NM_000492
hsa-miR-509-3p,NM_000492
hsa-miR-491-5p,NM_001273
hsa-miR-574-5p,NM_001085471
hsa-miR-107,NM_000738
hsa-miR-15a-5p,NM_001278
hsa-miR-195-5p,NM_001278
hsa-miR-16-5p,NM_001278
hsa-miR-23b-3p,NM_001278
hsa-miR-223-3p,NM_001278
hsa-miR-224-5p,NM_001025205
hsa-miR-21-5p,NM_001295
hsa-miR-133a-3p,NM_000088
hsa-miR-143-3p,NM_000088
hsa-miR-29b-3p,NM_000088
hsa-miR-29c-3p,NM_000088
hsa-let-7g-5p,NM_000089
hsa-miR-29c-3p,NM_000089
hsa-miR-29b-3p,NM_000090
hsa-miR-29c-3p,NM_000090
hsa-miR-29a-3p,NM_001845
hsa-miR-29b-3p,NM_001845
hsa-miR-29c-3p,NM_001845
hsa-miR-29a-3p,NM_001846
hsa-miR-29c-3p,NM_001846
hsa-miR-29c-3p,NM_000094
hsa-miR-29c-3p,NM_001855
hsa-miR-370-3p,NM_001244134
hsa-miR-375,NM_001244134
hsa-miR-203a,NM_004379
hsa-miR-34b-5p,NM_004379
hsa-miR-200b-3p,NM_004379
hsa-miR-103a-3p,NM_004379
hsa-miR-182-5p,NM_004379
hsa-miR-324-3p,NM_001079846
hsa-miR-126-3p,NM_005206
hsa-miR-132-3p,NM_005206
hsa-miR-155-5p,NM_001025105
hsa-miR-760,NM_001895
hsa-miR-337-3p,NM_001895
